starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:18:32 2017	1489432712	0	45	46	37
Mon Mar 13 13:18:32 2017	1489432712	0	49	49	45
Mon Mar 13 13:18:32 2017	1489432712	0	55	55	54
Mon Mar 13 13:18:32 2017	1489432712	0	70	70	61
Mon Mar 13 13:18:32 2017	1489432712	0	73	73	72
Mon Mar 13 13:18:33 2017	1489432713	0	74	74	63
Mon Mar 13 13:18:32 2017	1489432712	0	75	75	71
Mon Mar 13 13:18:33 2017	1489432713	0	76	76	61
Mon Mar 13 13:18:33 2017	1489432713	0	77	77	76
Mon Mar 13 13:18:32 2017	1489432712	0	78	78	76
Mon Mar 13 13:18:33 2017	1489432713	0	79	79	73
Mon Mar 13 13:18:32 2017	1489432712	0	79	79	76
Mon Mar 13 13:18:33 2017	1489432713	0	79	79	77
Mon Mar 13 13:18:32 2017	1489432712	0	79	79	74
Mon Mar 13 13:18:33 2017	1489432713	0	80	80	72
Mon Mar 13 13:18:32 2017	1489432712	0	80	80	79
Mon Mar 13 13:18:32 2017	1489432712	0	81	81	77
Mon Mar 13 13:18:33 2017	1489432713	0	81	81	77
Mon Mar 13 13:18:33 2017	1489432713	0	82	82	81
Mon Mar 13 13:18:33 2017	1489432713	0	84	84	80
Mon Mar 13 13:18:33 2017	1489432713	0	85	85	72
Mon Mar 13 13:18:33 2017	1489432713	0	85	85	72
Mon Mar 13 13:18:32 2017	1489432712	0	85	85	84
Mon Mar 13 13:18:33 2017	1489432713	0	86	86	83
Mon Mar 13 13:18:33 2017	1489432713	0	86	86	77
Mon Mar 13 13:18:33 2017	1489432713	0	86	86	77
Mon Mar 13 13:18:33 2017	1489432713	0	86	86	81
Mon Mar 13 13:18:33 2017	1489432713	0	87	87	82
Mon Mar 13 13:18:32 2017	1489432712	0	88	88	85
Mon Mar 13 13:18:33 2017	1489432713	0	88	88	87
Mon Mar 13 13:18:32 2017	1489432712	0	88	88	85
Mon Mar 13 13:18:33 2017	1489432713	0	89	89	83
Mon Mar 13 13:18:33 2017	1489432713	0	89	89	86
Mon Mar 13 13:18:33 2017	1489432713	0	89	89	84
Mon Mar 13 13:18:33 2017	1489432713	0	89	89	83
Mon Mar 13 13:18:33 2017	1489432713	0	89	90	78
Mon Mar 13 13:18:33 2017	1489432713	0	90	90	84
Mon Mar 13 13:18:33 2017	1489432713	0	90	90	88
Mon Mar 13 13:18:33 2017	1489432713	0	90	90	81
Mon Mar 13 13:18:33 2017	1489432713	0	91	92	83
Mon Mar 13 13:18:33 2017	1489432713	0	92	92	87
Mon Mar 13 13:18:32 2017	1489432712	0	92	92	88
Mon Mar 13 13:18:33 2017	1489432713	0	92	93	86
Mon Mar 13 13:18:32 2017	1489432712	0	92	93	88
Mon Mar 13 13:18:32 2017	1489432712	0	93	93	85
Mon Mar 13 13:18:33 2017	1489432713	0	93	93	85
Mon Mar 13 13:18:33 2017	1489432713	0	93	93	92
Mon Mar 13 13:18:33 2017	1489432713	0	94	94	90
Mon Mar 13 13:18:33 2017	1489432713	0	94	94	86
Mon Mar 13 13:18:33 2017	1489432713	0	94	94	85
Mon Mar 13 13:18:33 2017	1489432713	0	94	94	91
Mon Mar 13 13:18:33 2017	1489432713	0	94	94	91
Mon Mar 13 13:18:33 2017	1489432713	0	94	94	89
Mon Mar 13 13:18:33 2017	1489432713	0	95	95	93
Mon Mar 13 13:18:33 2017	1489432713	0	96	96	94
Mon Mar 13 13:18:33 2017	1489432713	0	96	96	92
Mon Mar 13 13:18:33 2017	1489432713	0	97	97	92
Mon Mar 13 13:18:33 2017	1489432713	0	97	97	87
Mon Mar 13 13:18:33 2017	1489432713	0	97	97	93
Mon Mar 13 13:18:32 2017	1489432712	0	97	97	83
Mon Mar 13 13:18:32 2017	1489432712	0	97	97	82
Mon Mar 13 13:18:33 2017	1489432713	0	98	98	91
Mon Mar 13 13:18:33 2017	1489432713	0	98	98	92
Mon Mar 13 13:18:32 2017	1489432712	0	98	98	90
Mon Mar 13 13:18:33 2017	1489432713	0	98	98	96
Mon Mar 13 13:18:32 2017	1489432712	0	98	98	96
Mon Mar 13 13:18:32 2017	1489432712	0	98	98	94
Mon Mar 13 13:18:33 2017	1489432713	0	98	98	93
Mon Mar 13 13:18:33 2017	1489432713	0	99	99	90
Mon Mar 13 13:18:32 2017	1489432712	0	99	99	97
Mon Mar 13 13:18:33 2017	1489432713	0	99	99	96
Mon Mar 13 13:18:33 2017	1489432713	0	100	100	96
Mon Mar 13 13:18:33 2017	1489432713	0	100	100	98
Mon Mar 13 13:18:32 2017	1489432712	0	100	100	96
Mon Mar 13 13:18:32 2017	1489432712	0	100	100	85
Mon Mar 13 13:18:33 2017	1489432713	0	101	101	100
Mon Mar 13 13:18:33 2017	1489432713	0	101	101	90
Mon Mar 13 13:18:33 2017	1489432713	0	101	101	100
Mon Mar 13 13:18:33 2017	1489432713	0	102	102	97
Mon Mar 13 13:18:33 2017	1489432713	0	103	103	98
Mon Mar 13 13:18:33 2017	1489432713	0	103	103	96
Mon Mar 13 13:18:33 2017	1489432713	0	103	103	101
Mon Mar 13 13:18:32 2017	1489432712	0	103	103	98
Mon Mar 13 13:18:33 2017	1489432713	0	103	103	99
Mon Mar 13 13:18:33 2017	1489432713	0	103	103	102
Mon Mar 13 13:18:32 2017	1489432712	0	103	103	100
Mon Mar 13 13:18:33 2017	1489432713	0	104	104	102
Mon Mar 13 13:18:32 2017	1489432712	0	104	104	102
Mon Mar 13 13:18:33 2017	1489432713	0	104	104	102
Mon Mar 13 13:18:33 2017	1489432713	0	104	104	101
Mon Mar 13 13:18:33 2017	1489432713	0	104	104	97
Mon Mar 13 13:18:33 2017	1489432713	0	104	104	101
Mon Mar 13 13:18:33 2017	1489432713	0	105	105	96
Mon Mar 13 13:18:33 2017	1489432713	0	105	105	97
Mon Mar 13 13:18:32 2017	1489432712	0	104	105	102
Mon Mar 13 13:18:33 2017	1489432713	0	106	106	101
Mon Mar 13 13:18:33 2017	1489432713	0	106	106	93
Mon Mar 13 13:18:33 2017	1489432713	0	106	106	98
Mon Mar 13 13:18:33 2017	1489432713	0	106	106	100
Mon Mar 13 13:18:33 2017	1489432713	0	106	106	93
Mon Mar 13 13:18:33 2017	1489432713	0	106	106	99
Mon Mar 13 13:18:33 2017	1489432713	0	107	107	91
Mon Mar 13 13:18:33 2017	1489432713	0	107	107	101
Mon Mar 13 13:18:33 2017	1489432713	0	107	107	101
Mon Mar 13 13:18:32 2017	1489432712	0	107	107	101
Mon Mar 13 13:18:33 2017	1489432713	0	108	108	107
Mon Mar 13 13:18:33 2017	1489432713	0	109	109	106
Mon Mar 13 13:18:33 2017	1489432713	0	109	109	102
Mon Mar 13 13:18:33 2017	1489432713	0	109	109	108
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	99
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	109
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	103
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	103
Mon Mar 13 13:18:33 2017	1489432713	0	110	110	108
Mon Mar 13 13:18:32 2017	1489432712	0	110	110	107
Mon Mar 13 13:18:32 2017	1489432712	0	111	111	110
Mon Mar 13 13:18:33 2017	1489432713	0	111	111	102
Mon Mar 13 13:18:33 2017	1489432713	0	112	112	107
Mon Mar 13 13:18:33 2017	1489432713	0	113	113	105
Mon Mar 13 13:18:33 2017	1489432713	0	113	113	105
Mon Mar 13 13:18:33 2017	1489432713	0	113	113	112
Mon Mar 13 13:18:33 2017	1489432713	0	114	114	111
Mon Mar 13 13:18:33 2017	1489432713	0	114	114	111
Mon Mar 13 13:18:33 2017	1489432713	0	114	115	99
Mon Mar 13 13:18:33 2017	1489432713	0	115	115	103
Mon Mar 13 13:18:32 2017	1489432712	0	116	116	114
Mon Mar 13 13:18:33 2017	1489432713	0	116	116	115
Mon Mar 13 13:18:33 2017	1489432713	0	116	116	103
Mon Mar 13 13:18:33 2017	1489432713	0	117	117	114
Mon Mar 13 13:18:33 2017	1489432713	0	117	117	112
Mon Mar 13 13:18:33 2017	1489432713	0	118	118	113
