starttime	seconds	ctime	dtime	ttime	wait
Mon Mar 13 13:16:16 2017	1489432576	0	11	11	10
Mon Mar 13 13:16:16 2017	1489432576	0	11	11	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	8
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	9
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	8
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	10
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	8
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	12
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	11
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	12
Mon Mar 13 13:16:16 2017	1489432576	0	12	12	12
Mon Mar 13 13:16:16 2017	1489432576	0	12	13	10
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	12
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	11
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	12
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	10
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	11
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	12
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	12
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	11
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	11
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	13
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	11
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	13
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	11
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	12
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	13
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	13
Mon Mar 13 13:16:16 2017	1489432576	0	13	13	12
Mon Mar 13 13:16:16 2017	1489432576	0	14	14	10
Mon Mar 13 13:16:16 2017	1489432576	0	14	14	13
Mon Mar 13 13:16:16 2017	1489432576	0	14	14	13
Mon Mar 13 13:16:16 2017	1489432576	0	14	14	13
Mon Mar 13 13:16:16 2017	1489432576	0	14	15	13
Mon Mar 13 13:16:16 2017	1489432576	0	15	15	14
Mon Mar 13 13:16:16 2017	1489432576	0	20	20	18
Mon Mar 13 13:16:16 2017	1489432576	0	20	20	19
